C_uM,ER_like_Kd,ER_like_E_free,ER_like_occupancy,ER_like_v_rel,Lysosome_Kd,Lysosome_E_free,Lysosome_occupancy,Lysosome_v_rel,window_index
5.568813990945273,0.5,0.09679402662746828,0.9032059733725317,0.09679402662746826,81.09050486794658,0.9364259759255802,0.06357402407441981,0.9364259759255802,0.8457855350771866
6.637948800475621,0.5,0.08040710560028463,0.9195928943997154,0.08040710560028463,81.09050486794658,0.9251248634245357,0.0748751365754643,0.9251248634245356,0.85073825083771
7.912342618981326,0.5,0.06685211679385139,0.9331478832061486,0.06685211679385139,81.09050486794658,0.9120018252879802,0.08799817471201976,0.9120018252879802,0.8510325727476226
9.431402320497327,0.5,0.055635683279615655,0.9443643167203843,0.055635683279615655,81.09050486794658,0.8968329435860056,0.10316705641399437,0.8968329435860056,0.8469370299819292
11.242100350620873,0.5,0.04634587682589153,0.9536541231741085,0.04634587682589153,81.09050486794658,0.8793921311605288,0.12060786883947117,0.8793921311605287,0.8386359317681046
13.400427210994584,0.5,0.03864265400964584,0.9613573459903542,0.03864265400964584,81.09050486794658,0.8594612277277633,0.14053877227223666,0.8594612277277633,0.8262493648699739
15.973122800602557,0.5,0.032246893165081225,0.9677531068349188,0.032246893165081225,81.09050486794658,0.8368432485464865,0.1631567514535135,0.8368432485464865,0.8098576537146884
19.03974015050766,0.5,0.026929977026870944,0.9730700229731291,0.026929977026870944,81.09050486794658,0.8113787013833687,0.18862129861663135,0.8113787013833685,0.789528291595022
22.695105366946706,0.5,0.022504670806194227,0.9774953291938058,0.022504670806194227,81.09050486794658,0.7829643805473125,0.21703561945268746,0.7829643805473125,0.7653440249101195
27.05224984927535,0.5,0.01881746014104735,0.9811825398589527,0.01881746014104735,81.09050486794658,0.7515733801572821,0.24842661984271786,0.751573380157282,0.7374306780331001
32.24590545296398,0.5,0.015742256339351002,0.984257743660649,0.015742256339351002,81.09050486794658,0.717274320823087,0.28272567917691305,0.717274320823087,0.705982804599056
38.43667067526157,0.5,0.01317528404558388,0.9868247159544161,0.013175284045583878,81.09050486794658,0.6802471109805239,0.31975288901947607,0.6802471109805239,0.6712846620721677
45.81597669054491,0.5,0.011030950994033617,0.9889690490059664,0.011030950994033617,81.09050486794658,0.6407921914476304,0.35920780855236956,0.6407921914476304,0.6337236441864122
54.612006795364096,0.5,0.00923851617090321,0.9907614838290968,0.00923851617090321,81.09050486794658,0.5993303833953263,0.4006696166046737,0.5993303833953263,0.5937934599566149
65.0967523045817,0.5,0.007739399952043868,0.9922606000479561,0.007739399952043868,81.09050486794658,0.5563913466682919,0.44360865333170807,0.5563913466682919,0.5520852115065698
77.5944230814054,0.5,0.006485007925206787,0.9935149920747932,0.006485007925206787,81.09050486794658,0.5125902466275676,0.4874097533724324,0.5125902466275676,0.5092660948158041
92.49147277217335,0.5,0.005434965286298166,0.9945650347137018,0.005434965286298166,81.09050486794658,0.4685942610709617,0.5314057389290383,0.4685942610709617,0.4660474675286825
110.24854874674263,0.5,0.004555679792503042,0.995444320207497,0.004555679792503042,81.09050486794658,0.4250825469585777,0.5749174530414223,0.4250825469585777,0.4231460069892528
131.41473626117582,0.5,0.003819168324611155,0.9961808316753888,0.003819168324611155,81.09050486794658,0.38270466290488514,0.6172953370951149,0.38270466290488514,0.3812430493786378
156.64453730149089,0.5,0.0032020956686977797,0.9967979043313022,0.0032020956686977797,81.09050486794658,0.3420427785575981,0.6579572214424019,0.3420427785575981,0.3409475248578695
186.71810912919207,0.5,0.0026849847912018276,0.9973150152087982,0.0026849847912018276,81.09050486794658,0.3035821876581224,0.6964178123418776,0.3035821876581224,0.30276707410138054
222.56538834596856,0.5,0.0022515662353868038,0.9977484337646132,0.0022515662353868038,81.09050486794658,0.26769293833459074,0.7323070616654093,0.26769293833459074,0.2670902099531851
265.29484644319,0.5,0.0018882408070339807,0.998111759192966,0.0018882408070339805,81.09050486794658,0.2346233169977836,0.7653766830022164,0.2346233169977836,0.2341802916763467
316.22776601683796,0.5,0.0015836348459572491,0.9984163651540428,0.0015836348459572491,81.09050486794658,0.20450402851557214,0.7954959714844279,0.20450402851557214,0.20418016880987624
