dG_fold,K_fold,frac_U,frac_N,frac_UC,frac_NC,frac_folded,frac_unfolded_pool,free_C,C_uM
-3.0,130.36876170681515,0.0042993513751227235,0.5605011149172424,6.675414782850689e-05,0.4351327795598063,0.9956338944770486,0.00436610552295123,0.7763281249209528,1.2115276586285877
-3.0,130.36876170681515,0.003866952209294903,0.5041297711052096,7.546712925946584e-05,0.4919278095562361,0.9960575806614458,0.0039424193385543685,0.9757959909365737,1.467799267622069
-3.0,130.36876170681515,0.0034294618650899176,0.44709469667251733,8.428269956239226e-05,0.5493915587628305,0.9964862554353479,0.00351374456465231,1.22880356857653,1.7782794100389228
-3.0,130.36876170681515,0.003000407341854066,0.3911593897735514,9.292828537582906e-05,0.6057472745992187,0.9969066643727702,0.003093335627229895,1.5485944871472874,2.154434690031882
-3.0,130.36876170681515,0.0025925357756476685,0.3379856787518041,0.00010114702783285679,0.6593206384447153,0.9973063171965194,0.0026936828034805254,1.950735430209988,2.610157215682536
-3.0,130.36876170681515,0.0022160008293604103,0.28889728406499204,0.00010873432738008668,0.7087779807782674,0.9976752648432594,0.002324735156740497,2.453390945062732,3.1622776601683795
-3.0,130.36876170681515,0.0018772997097644807,0.24474123851455884,0.00011555926322387938,0.7532659025124528,0.9980071410270117,0.00199285897298836,3.0778053877816083,3.831186849557285
-3.0,130.36876170681515,0.001579178147258618,0.2058754995725686,0.00012156650801888059,0.7924237557721537,0.9982992553447223,0.0017007446552774986,3.8490435113326056,4.6415888336127775
-3.0,130.36876170681515,0.0013212795614689972,0.17225358029723692,0.00012676324697362298,0.8262983768943204,0.9985519571915573,0.0014480428084426202,4.796988111762197,5.623413251903491
-3.0,130.36876170681515,0.0011011162496888365,0.1435511619671859,0.00013119960809297542,0.8552165221750323,0.9987676841422182,0.001232315857781812,5.957572968796482,6.812920690579608
-3.0,130.36876170681515,0.0009150072917965159,0.11928836758421826,0.00013494976309419158,0.879661675360891,0.9989500429451093,0.0010499570548907074,7.374245227556198,8.254041852680182
-3.0,130.36876170681515,0.0007588029714152802,0.09892420376286193,0.00013809733008894202,0.9001788959356338,0.9991030996984958,0.0008969003015042222,9.099683006734278,10.0
-3.0,130.36876170681515,0.0006283620779082952,0.08191878600042575,0.00014072575579551847,0.9173121261658703,0.9992309121662961,0.0007690878337038137,11.197823734364214,12.115276586285876
-3.0,130.36876170681515,0.0005198236425501967,0.06776876458519525,0.00014291283996810224,0.9315684989322862,0.9993372635174814,0.000662736482518299,13.746281264448438,14.67799267622069
-3.0,130.36876170681515,0.0004297346407797788,0.05602397298098279,0.00014472816215554566,0.9434015642160817,0.9994255371970645,0.0005744628029353245,16.839247808010995,17.78279410038923
-3.0,130.36876170681515,0.00035508803614344066,0.04629238756892518,0.0001462323151037489,0.9532062920798274,0.9994986796487526,0.0005013203512471895,20.59099437592389,21.54434690031882
-3.0,130.36876170681515,0.0002933105434520819,0.038238532345400915,0.0001474771513319607,0.9613206799598148,0.9995592123052157,0.0004407876947840426,25.140103999714214,26.10157215682536
-3.0,130.36876170681515,0.00024222554310156268,0.03157864410791151,0.00014850653042107725,0.9680306238185659,0.9996092679264774,0.00039073207352263993,30.654597471334803,31.622776601683793
-3.0,130.36876170681515,0.00020000628014048017,0.026074571075500774,0.00014935726206738936,0.9735760653822911,0.999650636457792,0.00034936354220786953,37.3381430729285,38.31186849557285
-3.0,130.36876170681515,0.00016512771276845016,0.021527495437101495,0.00015006007635073596,0.9781573167737792,0.9996848122108807,0.0003151877891191861,45.43758095927764,46.41588833612777
-3.0,130.36876170681515,0.00013632124133606125,0.01777203142731821,0.00015064053595962847,0.9819410067953861,0.9997130382227043,0.0002869617772956897,55.25204087170357,56.23413251903491
-3.0,130.36876170681515,0.00011253416155963097,0.014670939292243767,0.00015111985322193626,0.9850654066929746,0.9997363459852183,0.00026365401478156724,67.14399037924989,68.12920690579608
-3.0,130.36876170681515,9.289437760054746e-05,0.01211052497730868,0.00015151560114761955,0.9876450650439431,0.9997555900212518,0.000244409978748167,81.55262194615673,82.54041852680182
-3.0,130.36876170681515,7.668023870412242e-05,0.00999670776723944,0.00015184232123009953,0.9897747696728261,0.9997714774400656,0.00022852255993422195,99.01007338800596,100.0
