C_uM,pH,Kd_uM,E_free,EC,v_rel,occupancy
10.0,5.8,11.454338263838874,0.5454501742996705,0.45454982570032954,0.5454501742996705,0.45454982570032954
10.0,5.9,9.418245447449001,0.49789467545986277,0.5021053245401372,0.49789467545986277,0.5021053245401372
10.0,6.0,7.74408309456241,0.4503823126319588,0.5496176873680412,0.4503823126319588,0.5496176873680412
10.0,6.1,6.367515405083318,0.40374177730077143,0.5962582226992286,0.40374177730077143,0.5962582226992286
10.0,6.2,5.235642740254498,0.358743602993405,0.641256397006595,0.358743602993405,0.641256397006595
10.0,6.3,4.304968760923007,0.31605328487455164,0.6839467151254484,0.31605328487455164,0.6839467151254484
10.0,6.4,3.5397289219206893,0.27619765917984207,0.7238023408201579,0.27619765917984207,0.7238023408201579
10.0,6.5,2.9105160888543584,0.2395473975999538,0.7604526024000462,0.2395473975999538,0.7604526024000462
10.0,6.6,2.393150461613195,0.2063155713218343,0.7936844286781657,0.20631557132183428,0.7936844286781657
10.0,6.699999999999999,1.9677503772788911,0.17656979933227834,0.8234302006677217,0.17656979933227834,0.8234302006677217
10.0,6.8,1.617968284648143,0.15025398291800318,0.8497460170819968,0.15025398291800318,0.8497460170819968
10.0,6.9,1.3303625298994048,0.12721517047412245,0.8727848295258775,0.12721517047412245,0.8727848295258775
10.0,7.0,1.093880811974777,0.10723152300013084,0.8927684769998692,0.10723152300013084,0.8927684769998692
10.0,7.1,0.8994354575643952,0.09003832207831941,0.9099616779216806,0.09003832207831941,0.9099616779216806
10.0,7.199999999999999,0.7395541940841053,0.07535011759655852,0.9246498824034415,0.07535011759655852,0.9246498824034415
10.0,7.3,0.6080930003231846,0.0628781731858421,0.9371218268141579,0.0628781731858421,0.9371218268141579
10.0,7.4,0.5,0.0523431780746364,0.9476568219253636,0.05234317807463639,0.9476568219253636
10.0,7.5,0.4111213249735359,0.04348371226026604,0.956516287739734,0.04348371226026604,0.956516287739734
10.0,7.6,0.33804148769599135,0.03606121018626762,0.9639387898137324,0.03606121018626762,0.9639387898137324
50.0,4.5,145.87135070005846,0.7456985536616401,0.25430144633835994,0.7456985536616401,0.25430144633835994
50.0,4.6,119.94164595097462,0.7070003126614068,0.29299968733859316,0.7070003126614068,0.29299968733859316
50.0,4.7,98.62113680574267,0.6650728817842122,0.3349271182157878,0.6650728817842122,0.3349271182157878
50.0,4.8,81.09050486794658,0.620380655697403,0.37961934430259703,0.620380655697403,0.37961934430259703
50.0,4.9,66.6760716081662,0.5735594256533005,0.42644057434669946,0.5735594256533005,0.42644057434669946
50.0,5.0,54.823909807159254,0.5253883902834247,0.47461160971657534,0.5253883902834247,0.47461160971657534
50.0,5.1,45.078556880297896,0.47674278480379684,0.5232572151962032,0.4767427848037968,0.5232572151962032
50.0,5.2,37.06551206504589,0.42853253350654796,0.571467466493452,0.42853253350654796,0.571467466493452
50.0,5.3,30.476844862008484,0.38163567173221935,0.6183643282677806,0.38163567173221935,0.6183643282677806
50.0,5.4,25.05936168136361,0.3368365892864418,0.6631634107135582,0.3368365892864418,0.6631634107135582
50.0,5.5,20.60487595486652,0.294777939615706,0.705222060384294,0.294777939615706,0.705222060384294
50.0,5.6,16.942207806960145,0.2559317816519808,0.7440682183480192,0.2559317816519808,0.7440682183480192
50.0,5.7,13.930605843148854,0.22059131844330793,0.7794086815566921,0.2205913184433079,0.7794086815566921
50.0,5.8,11.454338263838874,0.18888077587598673,0.8111192241240133,0.18888077587598673,0.8111192241240133
50.0,5.9,9.418245447449001,0.16077846332493806,0.8392215366750619,0.16077846332493806,0.8392215366750619
50.0,6.0,7.74408309456241,0.1361471825419045,0.8638528174580955,0.1361471825419045,0.8638528174580955
50.0,6.1,6.367515405083318,0.11476664567002715,0.8852333543299729,0.11476664567002715,0.8852333543299729
50.0,6.2,5.235642740254498,0.09636387585034711,0.9036361241496529,0.09636387585034711,0.9036361241496529
50.0,6.3,4.304968760923007,0.08063912599893186,0.9193608740010681,0.08063912599893186,0.9193608740010681
50.0,6.4,3.5397289219206893,0.0672862527966025,0.9327137472033975,0.0672862527966025,0.9327137472033975
50.0,6.5,2.9105160888543584,0.056007519586735555,0.9439924804132644,0.05600751958673555,0.9439924804132644
50.0,6.6,2.393150461613195,0.046523437654357735,0.9534765623456423,0.046523437654357735,0.9534765623456423
50.0,6.699999999999999,1.9677503772788911,0.0385785532606846,0.9614214467393154,0.0385785532606846,0.9614214467393154
50.0,6.8,1.617968284648143,0.031944147718096616,0.9680558522819034,0.031944147718096616,0.9680558522819034
50.0,6.9,1.3303625298994048,0.026418736393498676,0.9735812636065013,0.026418736393498673,0.9735812636065013
50.0,7.0,1.093880811974777,0.021827104862811808,0.9781728951371882,0.021827104862811808,0.9781728951371882
50.0,7.1,0.8994354575643952,0.018018456212089973,0.98198154378791,0.018018456212089973,0.98198154378791
50.0,7.199999999999999,0.7395541940841053,0.014864090860204016,0.985135909139796,0.014864090860204016,0.985135909139796
50.0,7.3,0.6080930003231846,0.012254912065447598,0.9877450879345524,0.012254912065447598,0.9877450879345524
50.0,7.4,0.5,0.010098949721506045,0.989901050278494,0.010098949721506045,0.989901050278494
50.0,7.5,0.4111213249735359,0.008319020249956566,0.9916809797500434,0.008319020249956566,0.9916809797500434
50.0,7.6,0.33804148769599135,0.006850587233685701,0.9931494127663143,0.006850587233685701,0.9931494127663143
