C_uM,ER_like_v_rel,ER_like_occupancy,Lysosome_v_rel,Lysosome_occupancy,window_index
0.9617248711152965,0.2178211985121414,0.7821788014878586,0.2178211985121414,0.7821788014878586,0.17037512399087568
1.1463626662674242,0.14603081680136554,0.8539691831986345,0.14603081680136554,0.8539691831986345,0.12470581734569156
1.3664483492953259,0.09732010513466326,0.9026798948653367,0.09732010513466326,0.9026798948653367,0.08784890227124134
1.6287874214985514,0.06703966742747192,0.9329603325725281,0.06703966742747192,0.9329603325725281,0.06254535041868588
1.9414919457438817,0.0480959799220183,0.9519040200779817,0.0480959799220183,0.9519040200779817,0.04578275663735911
2.3142313881085674,0.03571563716159254,0.9642843628384075,0.03571563716159254,0.9642843628384075,0.03444003042373401
2.7585316176291843,0.027236554570014834,0.9727634454299852,0.027236554570014834,0.9727634454299852,0.026494724665169438
3.2881313098424276,0.021192512669484076,0.9788074873305159,0.021192512669484076,0.9788074873305159,0.020743390076237832
3.919406774847221,0.01674396384354071,0.9832560361564593,0.01674396384354071,0.9832560361564593,0.01646360351834691
4.671878346444273,0.013385933698402352,0.9866140663015976,0.013385933698402352,0.9866140663015976,0.013206750477424329
5.568813990945273,0.010800036397138335,0.9891999636028617,0.010800036397138335,0.9891999636028617,0.010683395610958822
6.637948800475621,0.008776971544878442,0.9912230284551216,0.008776971544878442,0.9912230284551216,0.008699936315378836
7.912342618981326,0.0071740985819004335,0.9928259014180996,0.0071740985819004335,0.9928259014180996,0.007122630891437607
9.431402320497327,0.0058911595454516075,0.9941088404545484,0.0058911595454516075,0.9941088404545484,0.005856453784661642
11.242100350620873,0.004855803914245449,0.9951441960857546,0.004855803914245449,0.9951441960857546,0.004832225082591847
13.400427210994584,0.004014631938594526,0.9959853680614055,0.004014631938594526,0.9959853680614055,0.003998514668992143
15.973122800602557,0.0033274658427915322,0.9966725341572085,0.0033274658427915322,0.9966725341572085,0.003316393813856588
19.03974015050766,0.002763575498294202,0.9972364245017058,0.002763575498294202,0.9972364245017058,0.0027559381487594296
22.695105366946706,0.0022991249378137013,0.9977008750621863,0.0022991249378137013,0.9977008750621863,0.0022938389623340244
27.05224984927535,0.0019154031364934099,0.9980845968635066,0.0019154031364934099,0.9980845968635066,0.001911734367318121
32.24590545296398,0.0015975715366440824,0.9984024284633559,0.0015975715366440824,0.9984024284633559,0.001595019301829387
38.43667067526157,0.0013337599787774934,0.9986662400212225,0.0013337599787774934,0.9986662400212225,0.001331981063096505
45.81597669054491,0.001114402533836767,0.9988855974661632,0.001114402533836767,0.9988855974661632,0.001113160640829345
54.612006795364096,0.0009317417451057963,0.9990682582548942,0.0009317417451057963,0.9990682582548942,0.0009308736024262235
65.0967523045817,0.0007794532171345735,0.9992205467828654,0.0007794532171345735,0.9992205467828654,0.000778845669816872
77.5944230814054,0.0006523576330721426,0.9993476423669279,0.0006523576330721426,0.9993476423669279,0.0006519320625907151
92.49147277217335,0.0005461972606966015,0.9994538027393034,0.0005461972606966015,0.9994538027393034,0.000545898929249009
110.24854874674263,0.0004574607010141562,0.9995425392989858,0.0004574607010141562,0.9995425392989858,0.00045725143072118386
131.41473626117582,0.0003832441972946299,0.9996167558027054,0.0003832441972946299,0.9996167558027054,0.00038309732117986986
156.64453730149089,0.0003211409837149404,0.9996788590162851,0.0003211409837149404,0.9996788590162851,0.000321037852183519
186.71810912919207,0.000269152373846282,0.9997308476261537,0.000269152373846282,0.9997308476261537,0.0002690799308459349
222.56538834596856,0.00022561587202574174,0.9997743841279743,0.00022561587202574174,0.9997743841279743,0.0002255649695040318
