C_uM,compartment,pH,Kd,E_free,occupancy,v_rel
35.11191734215131,Lysosome,4.8,81.09050486794658,0.6996467414387055,0.30035325856129447,0.6996467414387055
43.287612810830616,ER,7.4,0.5,0.011682435356092924,0.9883175646439071,0.011682435356092924
43.287612810830616,Lysosome,4.8,81.09050486794658,0.6537874651995139,0.3462125348004861,0.6537874651995139
53.366992312063125,ER,7.4,0.5,0.009456005762615405,0.9905439942373846,0.009456005762615405
53.366992312063125,Lysosome,4.8,81.09050486794658,0.6048714913187183,0.3951285086812817,0.6048714913187183
65.79332246575683,ER,7.4,0.5,0.0076568530091947196,0.9923431469908053,0.0076568530091947196
65.79332246575683,Lysosome,4.8,81.09050486794658,0.5537547378263525,0.44624526217364746,0.5537547378263525
81.11308307896873,ER,7.4,0.5,0.0062019900024239405,0.9937980099975761,0.0062019900024239405
81.11308307896873,Lysosome,4.8,81.09050486794658,0.5014716612112267,0.49852833878877334,0.5014716612112267
100.0,ER,7.4,0.5,0.005024871865956015,0.994975128134044,0.005024871865956015
100.0,Lysosome,4.8,81.09050486794658,0.44915618206177044,0.5508438179382296,0.44915618206177044
